site,type,tmp_id,brw_count,species,visit,Stage,wpt,brw,lat,lon,elevation,time,date,width,height,diggings,smell,feathers,scat,nest_mat,chick_down,eggshell,runway,recent_sign,contents,cam_content,bs_content,pb_content,ctrap_content,status,est_vs_status_cam,est_vs_status_bs,In or out of site,playback_resp,obs_method,Burrow marker type,Notes,Burrowscoper
SLB1.5,AP,,2,,1,Incubation,1055,AP001,-54.57167502,158.895841,154.297623,1:52:54,21/12/2017,14,10,y,n,n,n,n,n,n,,,U,,,,,,,,,N,BS,New - wood,,JB
SLB1.5,AP,,2,,2,Early chick rearing,,AP001,,,,,20/02/2018,,,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
SLAB3,AP,,2,Antarctic Prion,1,Incubation,1077,AP002,-54.57130998,158.894865,154.932663,4:22:22,21/12/2017,23,10,n,n,n,n,n,n,n,,,1,,,,,,,,,N,BS,New - wood,,JB
SLAB3,AP,,2,Antarctic Prion,2,Early chick rearing,,AP002,,,,,20/02/2018,,,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
SLB2.5,AP,,2,Antarctic Prion,1,Incubation,1064,AP003,-54.57153101,158.894932,158.855713,3:43:42,21/12/2017,15,11,n,n,n,n,n,n,n,,,U,,,occupied,,,,,,Y,BS,New - wood,,JB
SLB2.5,AP,,2,Antarctic Prion,2,Early chick rearing,,AP003,,,,,20/02/2018,,,n,n,n,n,n,n,n,,,,,,occupied,,,,,,N,,,,
SLAB3,AP,,2,,1,Incubation,1079,AP004,-54.57126003,158.894863,149.750824,4:27:07,21/12/2017,8,7,n,n,y,n,n,n,n,,,Empty,,,occupied,,,,,,N,BS,New - wood,,JB
SLAB3,AP,,2,,2,Early chick rearing,,AP004,,,,,20/02/2018,,,n,n,y,n,n,n,n,,,,,,occupied,,,,,,N,,,,
SLAB2,AP,,2,,1,Incubation,1048,AP005,-54.57132901,158.895711,147.744781,1:23:31,21/12/2017,18,14,n,y,n,n,n,n,n,,,Empty,,,occupied,,,,,,N,BS,New - wood,,JB
SLAB2,AP,,2,,2,Early chick rearing,,AP005,,,,,20/02/2018,,,n,n,n,n,n,n,n,,,,,,occupied,,,,,,N,,,,
SLB1.5,AP,,2,,1,Incubation,1054,AP006,-54.57169103,158.895797,156.119934,1:50:38,21/12/2017,12,8,y,n,n,n,n,n,n,,,U,,,occupied,,,,,,N,BS,New - wood,,JB
SLB1.5,AP,,2,,2,Early chick rearing,,AP006,,,,,20/02/2018,,,n,n,n,n,n,n,n,,,,,,occupied,,,,,,N,,,,
SLAB1,AP,,2,Antarctic Prion,1,Incubation,1042,AP007,-54.57164803,158.896367,151.22966,0:13:33,21/12/2017,30,11,n,n,n,y,n,n,n,,,U,,,occupied,,,,,,Y,BS,New - wood,,JB
SLAB1,AP,,2,Antarctic Prion,2,Early chick rearing,,AP007,,,,,20/02/2018,,,n,n,y,n,n,n,n,,,,,,occupied,,,,,,y,,,,
SLAB1,AP,,2,Antarctic Prion,1,Incubation,1041,AP008,-54.57136002,158.896442,147.687729,23:56:23,20/12/2017,10,8,n,n,n,y,n,n,n,,,U,,,occupied,,,,,,Y,BS,New - wood,,JB
SLAB1,AP,,2,Antarctic Prion,2,Early chick rearing,,AP008,,,,,20/02/2018,,,n,n,y,y,n,n,n,,,,,,occupied,,,,,,N,,,,
SLAB1,AP,,2,,1,Incubation,1033,AP009,-54.57110102,158.896484,140.015686,23:09:29,20/12/2017,20,12,n,n,n,n,n,n,n,,,Empty,,,,,,,,,N,BS,New - wood,,JB
SLAB1,AP,,2,,2,Early chick rearing,,AP009,,,,,20/02/2018,,,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
SLAB1,AP,,2,,1,Incubation,1040,AP010,-54.57137201,158.896474,147.805161,23:54:28,20/12/2017,24,9,n,n,n,n,n,n,n,,,U,,,,,,,,,N,BS,New - wood,,JB
SLAB1,AP,,2,,2,Early chick rearing,,AP010,,,,,20/02/2018,,,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
SLB2.5,AP,,2,Antarctic Prion,1,Incubation,1065,AP011,-54.571529,158.894993,155.473343,4:04:28,21/12/2017,9,7,y,y,n,n,n,n,n,,,U,,,occupied,,,,,,Y,BS,New - wood,,JB
SLB2.5,AP,,2,Antarctic Prion,2,Early chick rearing,,AP011,,,,,20/02/2018,,,n,n,n,n,n,n,n,,,,,,occupied,,,,,,N,,,,
SLB3,AP,,2,Antarctic Prion,1,Incubation,1068,AP012,-54.57148198,158.894729,159.680618,4:05:03,21/12/2017,10,7,y,y,n,n,n,n,n,,,1,,,occupied,,,,,,N,BS,New - wood,,JB
SLB3,AP,,2,Antarctic Prion,2,Early chick rearing,,AP012,,,,,20/02/2018,,,y,n,n,n,n,n,n,,,,,,occupied,,,,,,N,,,,
SLB2.5,AP,,2,Antarctic Prion,1,Incubation,1057,AP013,-54.57164099,158.895282,157.379257,2:11:28,21/12/2017,17,11,n,n,n,y,n,n,n,,,1,,,occupied,,,,,,Y,BS,New - wood,,JB
SLB2.5,AP,,2,Antarctic Prion,2,Early chick rearing,,AP013,,,,,20/02/2018,,,n,n,n,n,n,n,n,,,C,,,occupied,,,,,,N,BS,,,
SLB1.5,AP,,2,Antarctic Prion,1,Incubation,1056,AP014,-54.57165901,158.895891,154.836395,1:57:13,21/12/2017,27,10,n,n,n,y,n,n,n,,,U,,,,,,,,,N,BS,New - wood,,JB
SLB1.5,AP,,2,Antarctic Prion,2,Early chick rearing,,AP014,,,,,20/02/2018,,,n,n,y,n,n,n,n,,,,,,occupied,,,,,,y,,,,
SLB2.5,AP,,2,Antarctic Prion,1,Incubation,1063,AP015,-54.57153697,158.895014,155.561798,3:36:54,21/12/2017,14,9,y,y,n,y,n,n,n,,,U,,,occupied,,,,,,Y,BS,New - wood,,JB
SLB2.5,AP,,2,Antarctic Prion,2,Early chick rearing,,AP015,,,,,20/02/2018,,,n,n,n,n,n,n,n,,,,,,occupied,,,,,,N,,,,
SLAB1,AP,,2,,1,Incubation,1036,AP016,-54.57133597,158.896458,143.583267,23:23:07,20/12/2017,14,10,n,n,n,n,n,n,n,,,Empty,,,,,,,,,N,BS,New - wood,,JB
SLAB1,AP,,2,,2,Early chick rearing,,AP016,,,,,20/02/2018,,,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
SLAB1,AP,,2,,1,Incubation,1038,AP017,-54.57150998,158.896292,146.479156,23:30:06,20/12/2017,17,10,y,n,n,n,n,n,n,,,U,,,occupied,,,,,,N,BS,New - wood,,JB
SLAB1,AP,,2,,2,Early chick rearing,,AP017,,,,,20/02/2018,,,n,n,n,n,n,n,n,,,,,,occupied,,,,,,N,,,,
SLAB1,AP,,2,,1,Incubation,1039,AP018,-54.57152297,158.8963,147.012329,23:30:09,20/12/2017,14,10,n,n,n,n,n,n,n,,,U,,,occupied,,,,,,N,BS,New - wood,,JB
SLAB1,AP,,2,,2,Early chick rearing,,AP018,,,,,20/02/2018,,,n,n,n,n,n,n,n,,,,,,occupied,,,,,,N,,,,
SLAB1,AP,,2,Antarctic Prion,1,Incubation,1035,AP019,-54.57134703,158.896453,146.938721,23:18:41,20/12/2017,24,10,n,n,n,n,n,n,n,,,U,,,occupied,,,,,,Y,BS,New - wood,,JB
SLAB1,AP,,2,Antarctic Prion,2,Early chick rearing,,AP019,,,,,20/02/2018,,,n,n,n,n,n,n,n,,,,,,occupied,,,,,,N,,,,
SLAB1,AP,,2,Antarctic Prion,1,Incubation,1045,AP020,-54.57151501,158.89628,147.743271,0:39:23,21/12/2017,22,11,n,n,n,n,n,n,n,,,U,,,,,,,,,N,BS,New - wood,,JB
SLAB1,AP,,2,Antarctic Prion,2,Early chick rearing,,AP020,,,,,20/02/2018,,,n,n,n,n,n,n,n,,,,,,occupied,,,,,,y,,,,
SLAB2,AP,,2,Antarctic Prion,1,Incubation,1050,AP021,-54.57155197,158.895674,152.881531,1:33:57,21/12/2017,17,12,y,n,y,y,n,n,n,,,Empty,,,,,,,,,N,BS,New - wood,,JB
SLAB2,AP,,2,Antarctic Prion,2,Early chick rearing,,AP021,,,,,20/02/2018,,,n,n,n,n,n,n,n,,,,,,occupied,,,,,,y,,,,
SLAB3,AP,,2,Antarctic Prion,1,Incubation,1076,AP022,-54.57130001,158.894867,155.024628,4:21:14,21/12/2017,22,17,y,n,n,y,n,n,n,,,1,,,occupied,,,,,,Y,BS,New - wood,,JB
SLAB3,AP,,2,Antarctic Prion,2,Early chick rearing,,AP022,,,,,20/02/2018,,,n,n,n,n,n,n,n,,,,,,occupied,,,,,,N,,,,
SLAB2,AP,,2,,1,Incubation,1047,AP023,-54.57133496,158.895737,149.062881,1:22:04,21/12/2017,14,10,n,n,y,n,n,n,n,,,Empty,,,,,,,,,N,BS,New - wood,,JB
SLAB2,AP,,2,,2,Early chick rearing,,AP023,,,,,20/02/2018,,,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
SLAB3,AP,,2,,1,Incubation,1072,AP024,-54.57144099,158.894856,157.135208,4:15:21,21/12/2017,20,9,n,n,n,n,n,n,n,,,Empty,,,occupied,,,,,,N,BS,New - wood,,JB
SLAB3,AP,,2,,2,Early chick rearing,,AP024,,,,,20/02/2018,,,n,n,n,n,n,n,n,,,,,,occupied,,,,,,N,,,,
SLAB3,AP,,2,,1,Incubation,1073,AP025,-54.57141601,158.89478,153.723724,4:15:55,21/12/2017,16,9,n,n,n,n,n,n,n,,,Empty,,,,,,,,,N,BS,New - wood,,JB
SLAB3,AP,,2,,2,Early chick rearing,,AP025,,,,,20/02/2018,,,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
SLAB2,AP,,2,,1,Incubation,1046,AP026,-54.57131803,158.895749,150.274704,1:19:23,21/12/2017,14,14,n,n,y,n,n,n,n,,,Empty,,,,,,,,,N,BS,New - wood,,JB
SLAB2,AP,,2,,2,Early chick rearing,,AP026,,,,,20/02/2018,,,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
SLAB1,AP,,2,,1,Incubation,1037,AP027,-54.57135097,158.896451,144.736923,23:23:10,20/12/2017,20,16,n,n,n,n,n,n,n,,,U,,,occupied,,,,,,N,BS,New - wood,,JB
SLAB1,AP,,2,,2,Early chick rearing,,AP027,,,,,20/02/2018,,,n,n,n,n,n,n,n,,,,,,occupied,,,,,,N,,,,
SLAB1,AP,,2,,1,Incubation,1034,AP028,-54.57110303,158.896472,140.877213,23:09:56,20/12/2017,19,12,n,n,n,n,n,n,n,,,U,,,,,,,,,N,BS,New - wood,,JB
SLAB1,AP,,2,,2,Early chick rearing,,AP028,,,,,20/02/2018,,,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
SLAB1,AP,,2,,1,Incubation,1043,AP029,-54.57169999,158.896388,152.870392,0:19:48,21/12/2017,15,10,n,n,n,n,n,n,n,,,U,,,,,,,,,N,BS,New - wood,,JB
SLAB1,AP,,2,,2,Early chick rearing,,AP029,,,,,20/02/2018,,,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
SLB1,AP,,2,,1,Incubation,1044,AP030,-54.57181198,158.896315,155.871582,0:23:32,21/12/2017,19,12,n,n,n,n,n,n,n,,,U,,,,,,,,,N,BS,New - wood,,JB
SLB1,AP,,2,,2,Early chick rearing,,AP030,,,,,20/02/2018,,,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
SLB3,AP,,2,Antarctic Prion,1,Incubation,1067,AP031,-54.57148802,158.894739,159.680511,4:05:00,21/12/2017,14,9,y,n,n,n,n,n,n,,,1,,,occupied,,,,,,N,BS,New - wood,,JB
SLB3,AP,,2,Antarctic Prion,2,Early chick rearing,,AP031,,,,,20/02/2018,,,n,n,n,n,n,n,n,,,,,,occupied,,,,,,N,,,,
SLAB2,AP,,2,,1,Incubation,1052,AP032,-54.57157996,158.895673,151.978668,1:42:21,21/12/2017,17,15,y,n,n,n,n,n,n,,,U,,,,,,,,,N,BS,New - wood,,JB
SLAB2,AP,,2,,2,Early chick rearing,,AP032,,,,,20/02/2018,,,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
SLB2.5,AP,,2,,1,Incubation,1059,AP033,-54.57159899,158.895299,158.99144,2:17:31,21/12/2017,19,11,y,n,n,n,n,n,n,,,Empty,,,,,,,,,N,BS,New - wood,,JB
SLB2.5,AP,,2,,2,Early chick rearing,,AP033,,,,,20/02/2018,,,n,n,n,n,n,n,n,,,0,,,,,,,,,N,BS,,,
SLB2.5,AP,,2,,1,Incubation,1058,AP034,-54.57159698,158.895271,157.629639,2:15:23,21/12/2017,23,15,y,n,n,n,n,n,n,,,U,,,occupied,,,,,,N,BS,New - wood,,JB
SLB2.5,AP,,2,,2,Early chick rearing,,AP034,,,,,20/02/2018,,,n,n,n,n,n,n,n,,,U,,,occupied,,,,,,N,BS,,,
SLB3,AP,,2,,1,Incubation,1066,AP035,-54.57149799,158.894712,159.709732,4:04:57,21/12/2017,50,11,n,n,n,n,n,n,n,,,Empty,,,,,,,,,N,BS,New - wood,,JB
SLB3,AP,,2,,2,Early chick rearing,,AP035,,,,,20/02/2018,,,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
SLAB3,AP,,2,Antarctic Prion,1,Incubation,1075,AP036,-54.57138198,158.89485,157.547241,4:19:00,21/12/2017,10,6,n,n,n,n,n,n,n,,,1,,,occupied,,,,,,Y,BS,New - wood,,JB
SLAB3,AP,,2,Antarctic Prion,2,Early chick rearing,,AP036,,,,,20/02/2018,,,n,n,n,n,n,n,n,,,,,,occupied,,,,,,N,,,,
